Timestamp,Router,Status,Uptime,Error
2026-06-28 19:45:07,sandbox-iosxe-latest-1.cisco.com,DOWN,N/A,"Authentication to device failed.

Common causes of this problem are:
1. Invalid username and password
2. Incorrect SSH-key file
3. Connecting to the wrong device

Device settings: cisco_ios sandbox-iosxe-latest-1.cisco.com:22


Authentication failed."
2026-06-28 19:45:07,sandbox-iosxe-latest-2.cisco.com,DOWN,N/A,"TCP connection to device failed.

Common causes of this problem are:
1. Incorrect hostname or IP address.
2. Wrong TCP port.
3. Intermediate firewall blocking access.

Device settings: cisco_ios sandbox-iosxe-latest-2.cisco.com:22

"
2026-06-28 19:45:07,8.8.8.8,DOWN,N/A,"TCP connection to device failed.

Common causes of this problem are:
1. Incorrect hostname or IP address.
2. Wrong TCP port.
3. Intermediate firewall blocking access.

Device settings: cisco_ios 8.8.8.8:22

"
